Pop,Sex,SVL,TD,OD,HW,HD,HL,HdL,FbL,FtL,HbL,LbS,DS,PoPV,SL,IL,SlF3,SlT4,NS,CS
Luzon,f,80.19,2.16,6.74,11.9,10.41,21.79,17.42,43.38,32.04,73.12,50,35,4,11,12,30,36,11,6
Luzon,f,83.2,2.24,7.07,11.93,10.29,21.67,15.61,43.71,29.35,69.89,49,30,3,9,9,25,30,12,6
Luzon,f,83.26,2.51,7.18,11.04,10.55,21.61,16.32,41.24,29.47,66.18,46,30,4,10,10,28,32,9,6
Luzon,f,83.36,2.23,6.99,11.92,11.63,22.65,16.91,45.32,32.17,73.17,53,32,4,10,10,28,32,9,7
Luzon,f,83.72,2.55,6.61,11.97,10.27,21.26,17.09,44.19,31.56,73.12,56,34,2,10,11,27,32,10,6
Luzon,f,84.26,2.39,7.37,11.26,10.71,22.05,19.85,46.09,31.66,71.88,48,36,4,10,11,29,34,12,6
Luzon,f,85.73,2.51,7.46,12.01,10.45,21.74,17.86,46.68,32.85,74.52,49,31,3,8,9,26,35,9,5
Luzon,f,85.84,2.75,6.9,12.09,10.67,22.6,17.3,44.95,33.22,72.83,48,34,4,10,11,27,35,11,7
Luzon,f,86.18,2.41,6.69,11.7,10.34,22.29,17.17,45.57,32.76,76.02,59,32,4,9,10,28,35,10,6
Luzon,f,87.85,2.21,7.17,11.72,10.1,22.91,18.31,44.51,32.35,73.91,57,34,4,9,10,27,33,12,6
Luzon,m,89.17,2.24,7.86,11.56,10.77,22.52,17.4,47.74,33.42,78.37,49,32,4,9,9,34,38,11,7
Luzon,f,89.6,2.86,7.87,12.71,11.09,23.52,18.23,50.31,33.85,81.02,48,31,4,11,12,29,34,9,6
Luzon,f,89.87,2.65,7.43,11.31,10.64,22.77,17.75,47.03,33.19,75.83,60,34,4,11,11,31,36,11,6
Luzon,f,89.97,3.01,7.03,12.27,10.85,22.6,19.16,48.73,33.09,77.73,51,38,4,12,11,29,35,12,6
Luzon,f,91.03,3.31,7.43,12.31,10.72,23.84,18.5,49.63,33.9,77.7,48,31,3,9,10,29,35,9,6
Luzon,m,92.5,2.01,7.75,12.88,10.93,23.66,17.14,48.24,33.29,77.74,54,33,4,9,9,29,32,10,5
Luzon,m,93.35,2.74,8.16,13.69,12.12,25.8,18.15,48.17,32.83,75.52,58,30,3,8,9,29,34,11,7
Luzon,f,93.45,2.71,7.94,12.86,11.08,23.72,17.67,48.36,35.14,82.62,49,28,4,10,10,28,34,11,6
Luzon,f,94.46,2.59,7.72,13.5,12.03,25.04,20.65,53.82,34.98,83.17,47,27,2,10,10,29,34,9,6
Luzon,f,95.05,2.83,7.33,13.38,11.41,25.19,18.46,52.16,34.43,81.61,54,31,4,9,11,29,32,10,6
Luzon,f,95.3,2.54,8.53,12.25,12.01,24.86,19.32,52.67,36.29,83.16,62,33,2,11,12,29,31,10,6
Luzon,f,95.44,2.9,8.03,12.84,11.33,25.78,18.46,50.1,36.38,82.53,57,32,4,10,10,29,34,11,6
Luzon,m,95.58,3.08,7.86,13.48,11.28,26.54,18.17,48.8,33.02,79,65,34,3,10,11,32,35,11,6
Luzon,m,95.62,2.87,8.3,13.5,11.82,25.45,19.01,51.01,34.57,79.77,60,34,3,9,10,29,33,13,7
Luzon,f,95.63,2.7,7.42,13.14,11.13,24.08,17.69,49.16,35.53,81.6,60,36,4,11,10,27,33,11,5
Luzon,f,95.75,2.71,7.73,11.87,11.32,24.27,20.1,51.26,36.15,80.64,45,35,4,9,9,27,33,11,6
Luzon,f,95.95,3,8.51,13.77,11.61,25.54,16.14,50.13,32.12,77.66,51,34,4,9,9,27,34,12,6
Luzon,f,97.55,2.67,8.59,14.54,12.77,27.15,19.64,51.91,33.84,81.31,48,34,4,9,10,29,34,10,6
Luzon,m,97.9,2.74,7.95,15.45,12.53,26.5,20.5,55.12,37.81,87.44,47,33,3,10,10,28,33,9,7
Luzon,m,97.91,2.46,8.36,12.78,12.03,26.44,20.44,51.04,36.43,82.2,46,29,4,10,10,30,34,11,6
